Local time,Open,High,Low,Close,Volume
09.01.2024 20:30:00.000 GMT+0330,37527.289,37545.779,37500.259,37517.249,0.833
09.01.2024 21:30:00.000 GMT+0330,37517.289,37561.299,37433.709,37538.719,1.4257
09.01.2024 22:30:00.000 GMT+0330,37539.499,37548.799,37462.209,37499.279,1.3045
09.01.2024 23:30:00.000 GMT+0330,37500.789,37551.239,37463.719,37524.199,1.572
10.01.2024 00:30:00.000 GMT+0330,37526.249,37534.239,37502.219,37509.239,0.1483
10.01.2024 01:30:00.000 GMT+0330,37509.239,37509.239,37509.239,37509.239,0
10.01.2024 02:30:00.000 GMT+0330,37502.719,37510.789,37479.199,37509.249,0.0325
10.01.2024 03:30:00.000 GMT+0330,37509.719,37528.279,37503.299,37508.499,0.0711
10.01.2024 04:30:00.000 GMT+0330,37508.789,37508.789,37491.229,37496.289,0.0878
10.01.2024 05:30:00.000 GMT+0330,37496.729,37505.299,37488.229,37502.259,0.0569
10.01.2024 06:30:00.000 GMT+0330,37502.779,37505.779,37473.779,37483.229,0.0518
10.01.2024 07:30:00.000 GMT+0330,37483.699,37498.779,37477.699,37481.239,0.0459
10.01.2024 08:30:00.000 GMT+0330,37481.769,37490.709,37470.999,37484.759,0.0513
10.01.2024 09:30:00.000 GMT+0330,37485.229,37494.999,37463.759,37474.699,0.057
10.01.2024 10:30:00.000 GMT+0330,37475.229,37509.749,37471.729,37498.269,0.0584
10.01.2024 11:30:00.000 GMT+0330,37498.749,37509.039,37473.019,37496.519,0.1216
10.01.2024 12:30:00.000 GMT+0330,37497.059,37557.299,37494.999,37531.089,0.0967
10.01.2024 13:30:00.000 GMT+0330,37530.799,37534.299,37497.079,37500.049,0.0783
10.01.2024 14:30:00.000 GMT+0330,37500.539,37510.549,37471.499,37480.299,0.0763
10.01.2024 15:30:00.000 GMT+0330,37480.017,37523.039,37476.599,37508.039,0.4495
10.01.2024 16:30:00.000 GMT+0330,37509.069,37541.799,37495.569,37516.059,0.5575
10.01.2024 17:30:00.000 GMT+0330,37517.039,37666.259,37504.499,37586.789,1.3871
10.01.2024 18:30:00.000 GMT+0330,37586.279,37613.259,37522.779,37600.229,1.5329
10.01.2024 19:30:00.000 GMT+0330,37601.999,37603.199,37541.749,37566.239,1.1077
10.01.2024 20:30:00.000 GMT+0330,37567.789,37593.769,37543.199,37584.269,0.8714
10.01.2024 21:30:00.000 GMT+0330,37586.219,37620.259,37548.499,37606.699,1.1639
10.01.2024 22:30:00.000 GMT+0330,37607.789,37731.199,37598.739,37724.259,1.0264
10.01.2024 23:30:00.000 GMT+0330,37723.299,37742.999,37599.249,37688.239,1.6076
11.01.2024 00:30:00.000 GMT+0330,37686.789,37693.709,37674.709,37688.499,0.1723
11.01.2024 01:30:00.000 GMT+0330,37688.499,37688.499,37688.499,37688.499,0
11.01.2024 02:30:00.000 GMT+0330,37700.719,37713.719,37672.249,37705.499,0.0535
11.01.2024 03:30:00.000 GMT+0330,37704.719,37736.219,37697.239,37726.799,0.0853
11.01.2024 04:30:00.000 GMT+0330,37727.299,37743.999,37725.709,37742.769,0.0947
11.01.2024 05:30:00.000 GMT+0330,37743.269,37759.279,37736.709,37741.739,0.059
11.01.2024 06:30:00.000 GMT+0330,37742.299,37761.759,37741.699,37760.499,0.0432
11.01.2024 07:30:00.000 GMT+0330,37759.999,37761.789,37752.779,37760.269,0.0369
11.01.2024 08:30:00.000 GMT+0330,37759.789,37767.229,37748.259,37753.719,0.0585
11.01.2024 09:30:00.000 GMT+0330,37754.219,37789.999,37751.699,37778.799,0.0712
11.01.2024 10:30:00.000 GMT+0330,37779.249,37797.709,37777.199,37777.789,0.0546
11.01.2024 11:30:00.000 GMT+0330,37778.269,37809.549,37765.999,37796.999,0.1238
